incident_administrative_unit,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,calfire_incident,mean_temperature,Population,incident_days,month_extinguished
CAL FIRE Shasta-Trinity Unit,Trinity,461.0,-122.946,40.7412,Unknown,True,14.078415,15889,4.0,8
CAL FIRE Shasta-Trinity Unit,Shasta,1375.0,-122.171,40.7101,Unknown,True,16.434956,181852,6.0,9
CAL FIRE Tuolumne Caleveras Unit,Tuolumne,70.0,-120.3434,37.8316,Unknown,True,25.511541,54993,1.0,9
Six Rivers National Forest,Humboldt,210.0,-123.753,41.134,Unknown,False,19.832563,136132,3.0,9
CAL FIRE Sonoma-Lake-Napa Unit,Napa,27.0,-122.384054,38.695961,Unknown,True,26.533167,137384,4.0,9
Yosemite National Park,Mariposa,311.0,40.34,37.0,Unknown,False,24.608084,17130,5.0,10
CAL FIRE / USFS - El Dorado National Forest,El Dorado,97717.0,-120.629714,38.805437,Unknown,True,18.633871,191713,26.0,10
Shasta-Trinity National Forest,Siskiyou,200.0,-121.851,41.485,Unknown,False,1.172012,44049,6.0,3
US Forest Service - Cleveland National Forest,Orange,968.0,-117.601,33.748,Unknown,False,25.116827,3175227,10.0,9
CAL FIRE Nevada-Yuba-Placer Unit,Nevada,247.0,-120.999508,39.113682,Unknown,True,24.342459,102322,5.0,9
CAL FIRE Madera-Mariposa-Merced Unit,Madera,320.0,-119.604124,37.311915,Unknown,True,14.429974,157243,8.0,9
CAL FIRE Siskiyou Unit,Siskiyou,516.0,-122.37432,41.42384,Unknown,True,15.965287,44049,26.0,10
CAL FIRE San Bernardino Unit / Chino Valley Fire District,San Bernardino,48.0,-117.70643,33.93869,Unknown,True,18.758875,2180563,1.0,10
US Forest Service - El Dorado National Forest,El Dorado,94.0,-120.028,38.59,Unknown,False,16.53073,191713,3.0,9
US Forest Service - Lake Tahoe Basin Management Unit,El Dorado,20.0,-120.1140659,38.9195001,Unknown,False,10.7015,191713,0.0,9
CAL FIRE San Diego Unit / Chula Vista Fire Department,San Diego,80.0,-116.9454387,32.6449163,Unknown,True,21.351501,3289701,0.0,6
**This was NOT a CAL FIRE Incident. Click this link for more information from the US Forest Service  ,Plumas,137.0,-120.70166666667,40.050833333333,Unknown,True,9.964779,19650,5.0,4
CAL FIRE/Riverside County Fire,Riverside,1049.0,-117.642759,33.884313,Unknown,True,17.215977,2429487,6.0,4
CAL FIRE Madera-Mariposa-Merced Unit,Merced,692.0,-121.06963,37.08312,Unknown,True,17.804415,282290,0.0,5
CAL FIRE Humboldt-Del Norte Unit ,Humboldt,20.0,-123.8292,41.1513,Unknown,True,19.627874,136132,1.0,6
USFS Shasta-Trinity National Forest ,Trinity,1542.0,-123.168,40.924,Unknown,False,21.539894,15889,19.0,6
Kern County Fire,Kern,67.0,-120.19482,35.77937,Unknown,True,23.52575,906883,0.0,6
CAL FIRE Sonoma-Lake-Napa Unit,Napa,38.0,-122.3415,38.5287,Unknown,True,22.363792,137384,1.0,6
